Fecha,Visita,Local,Carreras_Visita,Carreras_Local,Hits_Visita,HR_Visita,Hits_Local,HR_Local,Pitcher_Visita,Pitcher_Local,Gana_Local
2021-04-01,PIT,CHN,5,3,9,1,2,0,kuhlc001,hendk001,0
2021-04-01,SLN,CIN,11,6,10,2,10,2,flahj002,castl003,0
2021-04-01,LAN,COL,5,8,15,0,11,0,kersc001,marqg001,1
2021-04-01,TBA,MIA,1,0,5,1,3,0,glast001,alcas001,0
2021-04-01,MIN,MIL,5,6,10,1,11,0,maedk001,woodb005,1
2021-04-01,ATL,PHI,2,3,7,1,9,0,friem001,nolaa001,1
2021-04-01,ARI,SDN,7,8,12,4,10,2,bumgm001,darvy001,1
2021-04-01,CHA,ANA,3,4,7,1,6,1,gioll001,bundd001,1
2021-04-01,CLE,DET,2,3,6,1,5,1,biebs001,boydm001,1
2021-04-01,TEX,KCA,10,14,15,0,15,3,gibsk002,kellb003,1
2021-04-01,TOR,NYA,3,2,8,1,6,1,ryu-h001,coleg001,0
2021-04-01,HOU,OAK,8,1,9,2,6,0,greiz001,bassc001,0
2021-04-01,SFN,SEA,7,8,10,4,5,0,gausk001,gonzm005,1
2021-04-02,HOU,OAK,9,5,14,2,8,1,javic001,luzaj001,0
2021-04-02,BAL,BOS,3,0,9,0,2,0,meanj001,eovan001,0
2021-04-02,CHA,ANA,12,8,13,2,8,2,keucd001,heana001,0
2021-04-02,SFN,SEA,6,3,8,2,6,0,cuetj001,kikuy001,0
2021-04-02,TBA,MIA,6,4,8,3,10,0,yarbr001,lopep002,0
2021-04-02,LAN,COL,11,6,16,0,8,4,bauet001,senza001,0
2021-04-02,ARI,SDN,2,4,8,1,9,1,kellm002,snelb001,1
2021-04-03,SFN,SEA,0,4,6,0,8,2,webbl001,flexc001,1
2021-04-03,HOU,OAK,9,1,13,1,3,0,mccul002,irvic001,0
2021-04-03,TOR,NYA,3,5,8,1,11,1,strir001,klubc001,1
2021-04-03,TEX,KCA,4,11,6,1,12,2,arihk001,minom001,1
2021-04-03,CLE,DET,2,5,7,1,10,0,plesz001,tehej001,1
2021-04-03,BAL,BOS,4,2,8,0,7,0,harvm001,houct001,0
2021-04-03,CHA,ANA,3,5,9,1,9,1,lynnl001,cobba001,1
2021-04-03,ATL,PHI,0,4,1,0,8,0,mortc002,wheez001,1
2021-04-03,MIN,MIL,2,0,4,1,1,0,berrj001,burnc002,0
2021-04-03,TBA,MIA,7,12,9,1,14,2,hillr001,herne002,1
2021-04-03,LAN,COL,6,5,12,1,7,2,buehw001,grayj003,0
2021-04-03,SLN,CIN,6,9,7,3,12,2,waina001,mahlt001,1
2021-04-03,PIT,CHN,1,5,6,0,7,2,andet002,arrij001,1
2021-04-03,ARI,SDN,0,7,4,0,10,1,smitc006,musgj001,1
